"concentration","value","compound"
3.69897000433602,0.04,"Blank"
3.69897000433602,0.048,"Ampicillin_PA14 WT"
3.69897000433602,0.051,"Ampicillin_PA14 WT"
3.69897000433602,0.047,"Ampicillin_PA14 WT"
3.39794000867204,0.04,"Blank"
3.39794000867204,0.064,"Ampicillin_PA14 WT"
3.39794000867204,0.069,"Ampicillin_PA14 WT"
3.39794000867204,0.065,"Ampicillin_PA14 WT"
3.09691001300806,0.04,"Blank"
3.09691001300806,0.091,"Ampicillin_PA14 WT"
3.09691001300806,0.087,"Ampicillin_PA14 WT"
3.09691001300806,0.087,"Ampicillin_PA14 WT"
2.79588001734408,0.04,"Blank"
2.79588001734408,0.153,"Ampicillin_PA14 WT"
2.79588001734408,0.185,"Ampicillin_PA14 WT"
2.79588001734408,0.158,"Ampicillin_PA14 WT"
2.49485002168009,0.04,"Blank"
2.49485002168009,0.479,"Ampicillin_PA14 WT"
2.49485002168009,0.58,"Ampicillin_PA14 WT"
2.49485002168009,0.604,"Ampicillin_PA14 WT"
2.19382002601611,0.041,"Blank"
2.19382002601611,0.783,"Ampicillin_PA14 WT"
2.19382002601611,0.793,"Ampicillin_PA14 WT"
2.19382002601611,0.749,"Ampicillin_PA14 WT"
1.89279003035213,0.04,"Blank"
1.89279003035213,0.636,"Ampicillin_PA14 WT"
1.89279003035213,0.629,"Ampicillin_PA14 WT"
1.89279003035213,0.614,"Ampicillin_PA14 WT"
1.59176003468815,0.04,"Blank"
1.59176003468815,0.538,"Ampicillin_PA14 WT"
1.59176003468815,0.557,"Ampicillin_PA14 WT"
1.59176003468815,0.545,"Ampicillin_PA14 WT"
1.29073003902417,0.041,"Blank"
1.29073003902417,0.533,"Ampicillin_PA14 WT"
1.29073003902417,0.498,"Ampicillin_PA14 WT"
1.29073003902417,0.506,"Ampicillin_PA14 WT"
0.989700043360188,0.04,"Blank"
0.989700043360188,0.564,"Ampicillin_PA14 WT"
0.989700043360188,0.52,"Ampicillin_PA14 WT"
0.989700043360188,0.495,"Ampicillin_PA14 WT"
0.688670047696207,0.041,"Blank"
0.688670047696207,0.527,"Ampicillin_PA14 WT"
0.688670047696207,0.506,"Ampicillin_PA14 WT"
0.688670047696207,0.536,"Ampicillin_PA14 WT"
-Inf,0.041,"Blank"
-Inf,0.555,"Ampicillin_PA14 WT"
-Inf,0.534,"Ampicillin_PA14 WT"
-Inf,0.532,"Ampicillin_PA14 WT"
