"concentration","value","compound"
0.806179973983887,0.053,"GT3_043_BW WT"
0.806179973983887,0.052,"GT3_043_BW WT"
0.806179973983887,0.049,"GT3_043_BW WT"
0.806179973983887,0.046,"GT3_043_BW tolC"
0.806179973983887,0.047,"GT3_043_BW tolC"
0.806179973983887,0.047,"GT3_043_BW tolC"
0.806179973983887,0.045,"Blank"
0.329058719264225,0.055,"GT3_043_BW WT"
0.329058719264225,0.053,"GT3_043_BW WT"
0.329058719264225,0.05,"GT3_043_BW WT"
0.329058719264225,0.047,"GT3_043_BW tolC"
0.329058719264225,0.046,"GT3_043_BW tolC"
0.329058719264225,0.046,"GT3_043_BW tolC"
0.329058719264225,0.044,"Blank"
-0.148062535455438,0.054,"GT3_043_BW WT"
-0.148062535455438,0.057,"GT3_043_BW WT"
-0.148062535455438,0.052,"GT3_043_BW WT"
-0.148062535455438,0.048,"GT3_043_BW tolC"
-0.148062535455438,0.047,"GT3_043_BW tolC"
-0.148062535455438,0.046,"GT3_043_BW tolC"
-0.148062535455438,0.045,"Blank"
-0.6251837901751,0.059,"GT3_043_BW WT"
-0.6251837901751,0.059,"GT3_043_BW WT"
-0.6251837901751,0.055,"GT3_043_BW WT"
-0.6251837901751,0.048,"GT3_043_BW tolC"
-0.6251837901751,0.049,"GT3_043_BW tolC"
-0.6251837901751,0.047,"GT3_043_BW tolC"
-0.6251837901751,0.044,"Blank"
-1.10230504489476,0.1,"GT3_043_BW WT"
-1.10230504489476,0.065,"GT3_043_BW WT"
-1.10230504489476,0.059,"GT3_043_BW WT"
-1.10230504489476,0.265,"GT3_043_BW tolC"
-1.10230504489476,0.248,"GT3_043_BW tolC"
-1.10230504489476,0.05,"GT3_043_BW tolC"
-1.10230504489476,0.045,"Blank"
-1.57942629961443,0.086,"GT3_043_BW WT"
-1.57942629961443,0.082,"GT3_043_BW WT"
-1.57942629961443,0.071,"GT3_043_BW WT"
-1.57942629961443,0.065,"GT3_043_BW tolC"
-1.57942629961443,0.051,"GT3_043_BW tolC"
-1.57942629961443,0.052,"GT3_043_BW tolC"
-1.57942629961443,0.044,"Blank"
-2.05654755433409,0.368,"GT3_043_BW WT"
-2.05654755433409,0.346,"GT3_043_BW WT"
-2.05654755433409,0.331,"GT3_043_BW WT"
-2.05654755433409,0.42,"GT3_043_BW tolC"
-2.05654755433409,0.22,"GT3_043_BW tolC"
-2.05654755433409,0.072,"GT3_043_BW tolC"
-2.05654755433409,0.045,"Blank"
-2.53366880905375,0.298,"GT3_043_BW WT"
-2.53366880905375,0.269,"GT3_043_BW WT"
-2.53366880905375,0.261,"GT3_043_BW WT"
-2.53366880905375,0.226,"GT3_043_BW tolC"
-2.53366880905375,0.235,"GT3_043_BW tolC"
-2.53366880905375,0.264,"GT3_043_BW tolC"
-2.53366880905375,0.044,"Blank"
-3.01079006377341,0.303,"GT3_043_BW WT"
-3.01079006377341,0.288,"GT3_043_BW WT"
-3.01079006377341,0.265,"GT3_043_BW WT"
-3.01079006377341,0.293,"GT3_043_BW tolC"
-3.01079006377341,0.344,"GT3_043_BW tolC"
-3.01079006377341,0.347,"GT3_043_BW tolC"
-3.01079006377341,0.044,"Blank"
-3.48791131849308,0.302,"GT3_043_BW WT"
-3.48791131849308,0.294,"GT3_043_BW WT"
-3.48791131849308,0.276,"GT3_043_BW WT"
-3.48791131849308,0.388,"GT3_043_BW tolC"
-3.48791131849308,0.372,"GT3_043_BW tolC"
-3.48791131849308,0.342,"GT3_043_BW tolC"
-3.48791131849308,0.044,"Blank"
-3.96503257321274,0.319,"GT3_043_BW WT"
-3.96503257321274,0.296,"GT3_043_BW WT"
-3.96503257321274,0.285,"GT3_043_BW WT"
-3.96503257321274,0.41,"GT3_043_BW tolC"
-3.96503257321274,0.352,"GT3_043_BW tolC"
-3.96503257321274,0.36,"GT3_043_BW tolC"
-3.96503257321274,0.044,"Blank"
-Inf,0.343,"GT3_043_BW WT"
-Inf,0.31,"GT3_043_BW WT"
-Inf,0.306,"GT3_043_BW WT"
-Inf,0.37,"GT3_043_BW tolC"
-Inf,0.369,"GT3_043_BW tolC"
-Inf,0.37,"GT3_043_BW tolC"
-Inf,0.045,"Blank"
