"concentration","value","compound"
0.806179973983887,0.056,"GT4_181_BW WT"
0.806179973983887,0.058,"GT4_181_BW WT"
0.806179973983887,0.055,"GT4_181_BW WT"
0.806179973983887,0.051,"GT4_181_BW tolC"
0.806179973983887,0.052,"GT4_181_BW tolC"
0.806179973983887,0.051,"GT4_181_BW tolC"
0.806179973983887,0.048,"Blank"
0.329058719264225,0.054,"GT4_181_BW WT"
0.329058719264225,0.054,"GT4_181_BW WT"
0.329058719264225,0.053,"GT4_181_BW WT"
0.329058719264225,0.051,"GT4_181_BW tolC"
0.329058719264225,0.052,"GT4_181_BW tolC"
0.329058719264225,0.053,"GT4_181_BW tolC"
0.329058719264225,0.048,"Blank"
-0.148062535455438,0.055,"GT4_181_BW WT"
-0.148062535455438,0.056,"GT4_181_BW WT"
-0.148062535455438,0.055,"GT4_181_BW WT"
-0.148062535455438,0.053,"GT4_181_BW tolC"
-0.148062535455438,0.054,"GT4_181_BW tolC"
-0.148062535455438,0.052,"GT4_181_BW tolC"
-0.148062535455438,0.049,"Blank"
-0.6251837901751,0.056,"GT4_181_BW WT"
-0.6251837901751,0.06,"GT4_181_BW WT"
-0.6251837901751,0.057,"GT4_181_BW WT"
-0.6251837901751,0.053,"GT4_181_BW tolC"
-0.6251837901751,0.053,"GT4_181_BW tolC"
-0.6251837901751,0.054,"GT4_181_BW tolC"
-0.6251837901751,0.049,"Blank"
-1.10230504489476,0.146,"GT4_181_BW WT"
-1.10230504489476,0.067,"GT4_181_BW WT"
-1.10230504489476,0.07,"GT4_181_BW WT"
-1.10230504489476,0.055,"GT4_181_BW tolC"
-1.10230504489476,0.056,"GT4_181_BW tolC"
-1.10230504489476,0.236,"GT4_181_BW tolC"
-1.10230504489476,0.048,"Blank"
-1.57942629961443,0.151,"GT4_181_BW WT"
-1.57942629961443,0.106,"GT4_181_BW WT"
-1.57942629961443,0.122,"GT4_181_BW WT"
-1.57942629961443,0.203,"GT4_181_BW tolC"
-1.57942629961443,0.065,"GT4_181_BW tolC"
-1.57942629961443,0.397,"GT4_181_BW tolC"
-1.57942629961443,0.047,"Blank"
-2.05654755433409,0.328,"GT4_181_BW WT"
-2.05654755433409,0.328,"GT4_181_BW WT"
-2.05654755433409,0.335,"GT4_181_BW WT"
-2.05654755433409,0.192,"GT4_181_BW tolC"
-2.05654755433409,0.193,"GT4_181_BW tolC"
-2.05654755433409,0.185,"GT4_181_BW tolC"
-2.05654755433409,0.048,"Blank"
-2.53366880905375,0.57,"GT4_181_BW WT"
-2.53366880905375,0.492,"GT4_181_BW WT"
-2.53366880905375,0.549,"GT4_181_BW WT"
-2.53366880905375,0.515,"GT4_181_BW tolC"
-2.53366880905375,0.596,"GT4_181_BW tolC"
-2.53366880905375,0.608,"GT4_181_BW tolC"
-2.53366880905375,0.048,"Blank"
-3.01079006377341,0.658,"GT4_181_BW WT"
-3.01079006377341,0.611,"GT4_181_BW WT"
-3.01079006377341,0.607,"GT4_181_BW WT"
-3.01079006377341,0.881,"GT4_181_BW tolC"
-3.01079006377341,0.877,"GT4_181_BW tolC"
-3.01079006377341,0.912,"GT4_181_BW tolC"
-3.01079006377341,0.048,"Blank"
-3.48791131849308,0.628,"GT4_181_BW WT"
-3.48791131849308,0.643,"GT4_181_BW WT"
-3.48791131849308,0.637,"GT4_181_BW WT"
-3.48791131849308,0.897,"GT4_181_BW tolC"
-3.48791131849308,0.904,"GT4_181_BW tolC"
-3.48791131849308,0.926,"GT4_181_BW tolC"
-3.48791131849308,0.047,"Blank"
-3.96503257321274,0.64,"GT4_181_BW WT"
-3.96503257321274,0.612,"GT4_181_BW WT"
-3.96503257321274,0.631,"GT4_181_BW WT"
-3.96503257321274,0.888,"GT4_181_BW tolC"
-3.96503257321274,0.911,"GT4_181_BW tolC"
-3.96503257321274,0.93,"GT4_181_BW tolC"
-3.96503257321274,0.047,"Blank"
-Inf,0.676,"GT4_181_BW WT"
-Inf,0.657,"GT4_181_BW WT"
-Inf,0.668,"GT4_181_BW WT"
-Inf,0.928,"GT4_181_BW tolC"
-Inf,0.945,"GT4_181_BW tolC"
-Inf,0.943,"GT4_181_BW tolC"
-Inf,0.049,"Blank"
