"concentration","value","compound"
1.69897000433602,0.041,"Blank"
1.69897000433602,0.041,"amikacin_PA14 WT"
1.69897000433602,0.042,"amikacin_PA14 WT"
1.69897000433602,0.041,"amikacin_PA14 WT"
1.22184874961636,0.039,"Blank"
1.22184874961636,0.041,"amikacin_PA14 WT"
1.22184874961636,0.041,"amikacin_PA14 WT"
1.22184874961636,0.041,"amikacin_PA14 WT"
0.744727494896694,0.04,"Blank"
0.744727494896694,0.094,"amikacin_PA14 WT"
0.744727494896694,0.085,"amikacin_PA14 WT"
0.744727494896694,0.084,"amikacin_PA14 WT"
0.267606240177031,0.04,"Blank"
0.267606240177031,0.413,"amikacin_PA14 WT"
0.267606240177031,0.408,"amikacin_PA14 WT"
0.267606240177031,0.414,"amikacin_PA14 WT"
-0.209515014542631,0.04,"Blank"
-0.209515014542631,0.533,"amikacin_PA14 WT"
-0.209515014542631,0.495,"amikacin_PA14 WT"
-0.209515014542631,0.512,"amikacin_PA14 WT"
-0.686636269262293,0.041,"Blank"
-0.686636269262293,0.546,"amikacin_PA14 WT"
-0.686636269262293,0.541,"amikacin_PA14 WT"
-0.686636269262293,0.5,"amikacin_PA14 WT"
-1.16375752398196,0.04,"Blank"
-1.16375752398196,0.546,"amikacin_PA14 WT"
-1.16375752398196,0.502,"amikacin_PA14 WT"
-1.16375752398196,0.519,"amikacin_PA14 WT"
-1.64087877870162,0.04,"Blank"
-1.64087877870162,0.559,"amikacin_PA14 WT"
-1.64087877870162,0.533,"amikacin_PA14 WT"
-1.64087877870162,0.518,"amikacin_PA14 WT"
-2.11800003342128,0.04,"Blank"
-2.11800003342128,0.537,"amikacin_PA14 WT"
-2.11800003342128,0.513,"amikacin_PA14 WT"
-2.11800003342128,0.524,"amikacin_PA14 WT"
-2.59512128814094,0.041,"Blank"
-2.59512128814094,0.565,"amikacin_PA14 WT"
-2.59512128814094,0.511,"amikacin_PA14 WT"
-2.59512128814094,0.53,"amikacin_PA14 WT"
-3.07224254286061,0.041,"Blank"
-3.07224254286061,0.552,"amikacin_PA14 WT"
-3.07224254286061,0.525,"amikacin_PA14 WT"
-3.07224254286061,0.563,"amikacin_PA14 WT"
-Inf,0.04,"Blank"
-Inf,0.526,"amikacin_PA14 WT"
-Inf,0.532,"amikacin_PA14 WT"
-Inf,0.514,"amikacin_PA14 WT"
