"concentration","value","compound"
-0.301029995663981,0.149,"Tobramycin_PA14 WT"
-0.301029995663981,0.212,"Tobramycin_PA14 WT"
-0.301029995663981,0.241,"Tobramycin_PA14 WT"
-0.301029995663981,0.041,"Blank"
-0.778151250383644,0.453,"Tobramycin_PA14 WT"
-0.778151250383644,0.444,"Tobramycin_PA14 WT"
-0.778151250383644,0.449,"Tobramycin_PA14 WT"
-0.778151250383644,0.04,"Blank"
-1.25527250510331,0.469,"Tobramycin_PA14 WT"
-1.25527250510331,0.458,"Tobramycin_PA14 WT"
-1.25527250510331,0.468,"Tobramycin_PA14 WT"
-1.25527250510331,0.04,"Blank"
-1.73239375982297,0.476,"Tobramycin_PA14 WT"
-1.73239375982297,0.463,"Tobramycin_PA14 WT"
-1.73239375982297,0.469,"Tobramycin_PA14 WT"
-1.73239375982297,0.041,"Blank"
-2.20951501454263,0.465,"Tobramycin_PA14 WT"
-2.20951501454263,0.472,"Tobramycin_PA14 WT"
-2.20951501454263,0.467,"Tobramycin_PA14 WT"
-2.20951501454263,0.04,"Blank"
-2.68663626926229,0.474,"Tobramycin_PA14 WT"
-2.68663626926229,0.471,"Tobramycin_PA14 WT"
-2.68663626926229,0.483,"Tobramycin_PA14 WT"
-2.68663626926229,0.039,"Blank"
-3.16375752398196,0.485,"Tobramycin_PA14 WT"
-3.16375752398196,0.478,"Tobramycin_PA14 WT"
-3.16375752398196,0.488,"Tobramycin_PA14 WT"
-3.16375752398196,0.039,"Blank"
-3.64087877870162,0.48,"Tobramycin_PA14 WT"
-3.64087877870162,0.493,"Tobramycin_PA14 WT"
-3.64087877870162,0.487,"Tobramycin_PA14 WT"
-3.64087877870162,0.04,"Blank"
-4.11800003342128,0.475,"Tobramycin_PA14 WT"
-4.11800003342128,0.475,"Tobramycin_PA14 WT"
-4.11800003342128,0.482,"Tobramycin_PA14 WT"
-4.11800003342128,0.041,"Blank"
-4.59512128814094,0.474,"Tobramycin_PA14 WT"
-4.59512128814094,0.472,"Tobramycin_PA14 WT"
-4.59512128814094,0.485,"Tobramycin_PA14 WT"
-4.59512128814094,0.039,"Blank"
-5.07224254286061,0.476,"Tobramycin_PA14 WT"
-5.07224254286061,0.479,"Tobramycin_PA14 WT"
-5.07224254286061,0.491,"Tobramycin_PA14 WT"
-5.07224254286061,0.039,"Blank"
-Inf,0.496,"Tobramycin_PA14 WT"
-Inf,0.516,"Tobramycin_PA14 WT"
-Inf,0.526,"Tobramycin_PA14 WT"
-Inf,0.04,"Blank"
