"concentration","value","compound"
0.806179973983887,0.057,"GT4_181_BW WT"
0.806179973983887,0.056,"GT4_181_BW WT"
0.806179973983887,0.056,"GT4_181_BW WT"
0.806179973983887,0.05,"GT4_181_BW tolC"
0.806179973983887,0.052,"GT4_181_BW tolC"
0.806179973983887,0.052,"GT4_181_BW tolC"
0.806179973983887,0.049,"Blank"
0.329058719264225,0.056,"GT4_181_BW WT"
0.329058719264225,0.055,"GT4_181_BW WT"
0.329058719264225,0.054,"GT4_181_BW WT"
0.329058719264225,0.051,"GT4_181_BW tolC"
0.329058719264225,0.053,"GT4_181_BW tolC"
0.329058719264225,0.05,"GT4_181_BW tolC"
0.329058719264225,0.048,"Blank"
-0.148062535455438,0.057,"GT4_181_BW WT"
-0.148062535455438,0.056,"GT4_181_BW WT"
-0.148062535455438,0.055,"GT4_181_BW WT"
-0.148062535455438,0.051,"GT4_181_BW tolC"
-0.148062535455438,0.055,"GT4_181_BW tolC"
-0.148062535455438,0.053,"GT4_181_BW tolC"
-0.148062535455438,0.049,"Blank"
-0.6251837901751,0.06,"GT4_181_BW WT"
-0.6251837901751,0.16,"GT4_181_BW WT"
-0.6251837901751,0.058,"GT4_181_BW WT"
-0.6251837901751,0.051,"GT4_181_BW tolC"
-0.6251837901751,0.055,"GT4_181_BW tolC"
-0.6251837901751,0.052,"GT4_181_BW tolC"
-0.6251837901751,0.049,"Blank"
-1.10230504489476,0.192,"GT4_181_BW WT"
-1.10230504489476,0.103,"GT4_181_BW WT"
-1.10230504489476,0.067,"GT4_181_BW WT"
-1.10230504489476,0.054,"GT4_181_BW tolC"
-1.10230504489476,0.056,"GT4_181_BW tolC"
-1.10230504489476,0.197,"GT4_181_BW tolC"
-1.10230504489476,0.048,"Blank"
-1.57942629961443,0.17,"GT4_181_BW WT"
-1.57942629961443,0.116,"GT4_181_BW WT"
-1.57942629961443,0.12,"GT4_181_BW WT"
-1.57942629961443,0.232,"GT4_181_BW tolC"
-1.57942629961443,0.064,"GT4_181_BW tolC"
-1.57942629961443,0.132,"GT4_181_BW tolC"
-1.57942629961443,0.047,"Blank"
-2.05654755433409,0.351,"GT4_181_BW WT"
-2.05654755433409,0.313,"GT4_181_BW WT"
-2.05654755433409,0.454,"GT4_181_BW WT"
-2.05654755433409,0.161,"GT4_181_BW tolC"
-2.05654755433409,0.168,"GT4_181_BW tolC"
-2.05654755433409,0.15,"GT4_181_BW tolC"
-2.05654755433409,0.047,"Blank"
-2.53366880905375,0.545,"GT4_181_BW WT"
-2.53366880905375,0.543,"GT4_181_BW WT"
-2.53366880905375,0.578,"GT4_181_BW WT"
-2.53366880905375,0.45,"GT4_181_BW tolC"
-2.53366880905375,0.46,"GT4_181_BW tolC"
-2.53366880905375,0.482,"GT4_181_BW tolC"
-2.53366880905375,0.049,"Blank"
-3.01079006377341,0.637,"GT4_181_BW WT"
-3.01079006377341,0.563,"GT4_181_BW WT"
-3.01079006377341,0.644,"GT4_181_BW WT"
-3.01079006377341,0.789,"GT4_181_BW tolC"
-3.01079006377341,0.833,"GT4_181_BW tolC"
-3.01079006377341,0.931,"GT4_181_BW tolC"
-3.01079006377341,0.049,"Blank"
-3.48791131849308,0.695,"GT4_181_BW WT"
-3.48791131849308,0.569,"GT4_181_BW WT"
-3.48791131849308,0.649,"GT4_181_BW WT"
-3.48791131849308,0.859,"GT4_181_BW tolC"
-3.48791131849308,0.916,"GT4_181_BW tolC"
-3.48791131849308,0.932,"GT4_181_BW tolC"
-3.48791131849308,0.048,"Blank"
-3.96503257321274,0.678,"GT4_181_BW WT"
-3.96503257321274,0.588,"GT4_181_BW WT"
-3.96503257321274,0.606,"GT4_181_BW WT"
-3.96503257321274,0.901,"GT4_181_BW tolC"
-3.96503257321274,0.894,"GT4_181_BW tolC"
-3.96503257321274,0.915,"GT4_181_BW tolC"
-3.96503257321274,0.048,"Blank"
-Inf,0.687,"GT4_181_BW WT"
-Inf,0.604,"GT4_181_BW WT"
-Inf,0.574,"GT4_181_BW WT"
-Inf,0.949,"GT4_181_BW tolC"
-Inf,0.91,"GT4_181_BW tolC"
-Inf,0.921,"GT4_181_BW tolC"
-Inf,0.049,"Blank"
